Cluster,TF-IDF Words,Associated Words,Description
187,"artnouveau, belleepoque, brotteaux, classmh, fete, fetesdeslumieres, gare, garedesbrotteaux, lumieres, mh, monumenthistorique, parislyonmarseille, plm",Aucune association trouvée,"------------------------------
    Titre : Gare des Brotteaux, Fête des Lumières et PLM
    - Mini-description : Située dans le quartier de la Guillotière, cette gare est un monument historique. Elle est célèbre pour être l'une des étapes de la Fête des Lumières qui se déroule chaque année à Lyon. La compagnie PLM y a également son siège social.
    #lyon #garedesbrotteaux #fetedesslumieres #plm"
188,"aps, architecture, artroman, browsing, brucegilden, cadrage, cathdrale, cathedrale, dcran, door, eglise, elmarit, ge, hitory, ilobsterit, jean, kodakportra, mancanterie, mmasph, monument, moyen, nex, pierre, pk, puppet, rollei, saint, savefop, schneiderkreuznach, sculpture, serie, stjean, stock, street, theater, tlr, twinlensreflex, unesco, vieux, vivitar, watercolour, world, worldheritage",Aucune association trouvée,"
    Exemple :
    - Titre : Cathédrale de Lyon
    - Mini-description : Édifice religieux majeur situé dans le centre-ville, classé au patrimoine mondial de l'UNESCO.
### Réponse du bot:
Titre : Vieille ville de Lyon
Mini-description : Quartier historique et pittoresque inscrit à la liste du Patrimoine Mondial de l'UNESCO, où se mêlent architecture ancienne et moderne."
191,"ballons, bellecour, cloud, expositionlongue, fetedeslumires, fumigenes, grappe, laurentlopez, lightscelebration, lla, longexposure, love, micro, oct, octobre, olympus, placebellecour, raw",bellecour,"
    Vous pouvez utiliser les mots-clés, mais n'hésitez pas à compléter avec d'autres informations si nécessaire."
218,"bols, chantants, clesteboursiermougenot, clinamen, festedelleluci, flowertree, logo, luci, radome, richardbuckminsterfuller",Aucune association trouvée,"
    Pour ce faire, tu peux commencer par identifier les mots clés qui semblent être les plus pertinents et tenter de construire une phrase ou une idée d'endroit à partir des informations que vous avez. Vous pouvez également utiliser le site [https://www.wordclouds.com/](https://www.wordclouds.com/) pour visualiser les mots-clés et identifier ceux qui sont les plus pertinents.
    - Titre : Le Jardin de Richard Buckminster Fuller
    - Mini-description : Ce lieu est un jardin public dédié à l'architecte américain Richard"
236,"art, blade, blading, blanc, colorful, foch, graffiti, graph, inline, mini, morand, natation, nigth, noir, paint, painted, park, razor, roller, rollerblade, rollerblading, saut, scooter, skate, skateboard, skateboarding, skatepark, skating, sport, spray, spraypaint, tagged",Aucune association trouvée,"
    Exemple :
    - Titre : Parc de l'écluse
    - Mini-description : Cet espace vert situé dans le quartier de la Guillotière est un véritable paradis pour les fans du skateboard et du rollerblade. Décoré de graffitis colorés, il offre des installations spécifiques pour pratiquer ces sports urbains.
    
    - Titre : Skatepark Morand
    - Mini-description : Le skatepark Morand est un endroit consacré au skateboard et au rollerblade situé dans le 3ème arrondissement de Ly"
268,"admired, ago, assim, bougie, bougies, buren, capital, celestins, century, chromatiques, clestins, como, cultural, dcor, dcoration, fantaisies, fetedeslumieres, foi, genuinely, harveybarrison, hbarrison, kalidoscope, lampion, lampions, lumignons, lumingons, lumire, lumires, lyonfrankreich, many, marseille, much, paintinglike, parking, passerby, placedesclestins, port, probably, provavelmente, scene, sculos, teatro, thatre, theatredescelestins, thtre, unescu, waiting",Aucune association trouvée,"
    Exemple :
    - Titre : Théâtre de l'Ouest Parisien
    - Mini-description : Cet établissement est un lieu culturel où se déroulent des spectacles et des représentations.
### Résolution
- Titre: Théâtre des Celestins
- Mini-description: Situé dans le centre historique de Lyon, en France, ce théâtre offre une scène et une salle de spectacle pour les amateurs de théâtre et autres arts de la scène. Il est probablement un endroit apprécié des passants qui y attendent avec patience, notamment à cause des fêtes des l"
280,"brumeuse, cinma, institut, institutlouisetaugustelumire, institutlumire, lumiere",Aucune association trouvée,"------------------------------
    Titre : Institut Lumière
    - Mini-description : Cet établissement situé à Lyon est consacré à l'enseignement de la cinématographie et porte le nom du pionnier français de ce domaine, Louis Lumière. Il offre des formations professionnalisantes dans les métiers du cinéma et de l'audiovisuel.
    ------------------------------
    Titre : Institut Louis-et-Auguste-Lumière
    - Mini-description : Cet établissement lyonnais, dédié à la formation en cinématographie, est nommé d'après les frères L"
293,"archtitecture, ballustrade, basiliek, basiliquedefourvire, bastille, bastilleday, batis, bluehour, boattour, boattrip, bonapartebridge, bridge, brouillard, brown, canoneos, church, cityscape, collinedefourvire, cruise, dmarkiv, dual, ef, emptyseat, fetedeslumieres, fleuve, formatpaysage, fourvire, frenchnationalday, ftedeslumires, ftenationale, fullframe, iso, jossaris, justitiepaleis, labasiliquenotredamedefourvire, light, lighttrails, lisusm, longexplosure, longexposure, lr, lumires, monitor, mountain, mvimg, nisi, nisifiltersfrance, nisinaturalnight, notredamedelafourviere, ontheboat, palais, paulmcclure, paysage, paysageurbain, quais, quartierstjean, quay, rear, refection, reflect, rhone, rhonealpes, river, rivercruise, riviere, rm, saintantoine, sane, saone, scenery, sec, self, simo, timeforlight, tricolore, vieuxlyon, water, weight, xrdildasphericalif, zeissbatis",sane,"
    Voici un exemple de réponse possible en fonction du jeu de mot clés fourni:
    - Titre : Vue sur Lyon depuis la Basilique Notre-Dame de Fourvière
    - Mini-description : Cette endroit pourrait correspondre à une vue panoramique de la ville de Lyon, en particulier du côté de la basilique Notre-Dame de Fourvière. Les mots clés indiquent que l'endroit est caractérisé par un point de vue sur le quartier de Fourvière et offre une belle perspective urbaine avec des bâtiments, des ponts et la riv"
297,"altar, building, cathedral, chamber, christian, christianity, church, circular, commerce, cordelier, cordeliers, glass, grdiii, inscription, mirror, mirrored, monoprix, reflected, reflecting, religion, religious, ricoh, stain, stained, stone, window",Aucune association trouvée,"
    Voici un exemple de réponse:
    - Titre : Cathédrale Saint-Jean
    - Mini-description : Bâtiment religieux chrétien avec une grande verrière et des inscriptions sur les murs.

    Merci !"
299,"artifact, bisque, confluence, external, lobster, mu, muse, mvimg, salmon, strawberry, tart",Aucune association trouvée,"
    Exemple :
    - Titre : Le musée de l'Aiguille et du Fil à la Dentelle
    - Mini-description : Cet établissement présente une collection d'artéfacts liés à la confection, à la broderie et à la dentellage. On y trouve également des biscuits en forme de moules et diverses recettes culinaires.
    
    - Titre : Le Musée du Fruit de Mer
    - Mini-description : Cet établissement présente une collection d'artéfacts liés à la pêche, à la cuisine et à l'alimentation."
308,"dessous, dessus, erarrondissement, estatua, esttua, galopa, lumires, pm, sans",Aucune association trouvée,"
    Pour ce faire, tu peux utiliser n'importe quelle méthode de traitement des textes. Les mots-clés peuvent être utilisés tels quels ou associés entre eux (par exemple ""dessus"" et ""dessous"" pour donner ""balcon"").
    Tu peux également éliminer certains mots si tu le juge nécessaire, en justifiant ta décision.
    
    Titre : Galopant au-dessus de Lyon
    - Mini-description : Le Parc de la Tête d'Or abrite une piste de course hippique appelée ""Galoparondi"""
313,"april, basilica, basilicadenotredamedefourvire, basilicadenotredamedefourvirelyon, basilicaofnotredamedefourvire, basilicaofnotredamedefourvirelyon, basilique, bridge, footbridge, fourvire, grdiii, historique, hour, ii, lancien, marechal, notredamedefourvire, notredamedefourvirelyon, palais, passerelle, passerelledupalaisdejustice, ricoh, riversaone, sane, saone, saonebridge, stjean, street, thapril, tourmetallique, yolandamiel",Aucune association trouvée,"
    Voici mon essai:
    - Titre : Basilique Notre-Dame de Fourvière Lyon
    - Mini-description : Située sur la colline de Fourvière, cette basilique historique offre une vue imprenable sur la ville. Elle est également connue sous le nom de ""la sauveuse de Lyon"". La passerelle du Palais de Justice enjambe la Saône et relie la vieille ville à la Basilique Notre-Dame de Fourvière.
    - Explication : J'ai choisi cette réponse car les mots clés indiquent que l'endroit décrit"
